id,title,description,list_id,due_date,reminder_date,recurring_frequency,is_completed,completed_at,is_in_my_day,notes,created_at,updated_at
1,Looking into failing signature not in rerun,,2,,,,false,,false,https://nvbugspro.nvidia.com/bug/5306597,2025-09-15T14:32:26.201783-05:00,2025-09-15T15:52:37.964585-05:00
2,Create Apserion rule to check that INI Overrides are not performed outside of shared space,,2,,,,false,,false,Should all overrides be in a common area? How will we check this? We will have to designate fstb_base_test.sv,2025-09-15T14:33:40.787167-05:00,2025-09-15T14:34:41.717249-05:00
3,Have rerun run_verdi symlinks created in before script,,2,,,,false,,false,,2025-09-15T14:35:45.860033-05:00,2025-09-15T14:35:45.860033-05:00
4,Update DejaVu to continue to rerun other jobs when one fails,,2,,,,false,,false,,2025-09-15T14:36:19.910474-05:00,2025-09-15T14:36:19.910474-05:00
5,Look into how to handle different owners for different variants,,2,,,,false,,false,,2025-09-15T14:36:33.996561-05:00,2025-09-15T14:36:33.996561-05:00
6,Update FW tests not marked as long in nvgpu_fstb and nvgpu_tb500s_fstb,,3,2025-09-19T23:59:59-05:00,,,false,,false,,2025-09-15T14:37:20.559518-05:00,2025-09-15T15:32:30.360617-05:00
7,Talk to Akshay about creating the dump cones he needs,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-15T16:20:34.018213-05:00,false,,2025-09-15T14:38:06.836130-05:00,2025-09-15T16:20:34.018213-05:00
8,Create Akshay's extra regressions,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-16T10:46:05.721406-05:00,true,,2025-09-15T14:38:28.509811-05:00,2025-09-16T10:46:05.721406-05:00
9,Debug reruns not reproducing,,3,,,,false,,true,,2025-09-15T14:44:48.312916-05:00,2025-09-16T10:45:55.149814-05:00
10,Biggest Offenders Email,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T14:45:35.460769-05:00,2025-09-15T14:45:56.900790-05:00
11,Run TB500s XPROP Intensive,,3,2025-09-19T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:16:01.282215-05:00,2025-09-15T15:16:28.535154-05:00
12,Check PIB Full-Chip Sanity,,3,2025-09-16T23:59:59-05:00,,Weekdays,true,2025-09-16T10:25:25.767723-05:00,false,,2025-09-15T15:16:32.406735-05:00,2025-09-16T10:25:25.767723-05:00
13,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-15T23:59:59-05:00,,Weekly,true,2025-09-16T09:44:10.717759-05:00,false,,2025-09-15T15:17:14.199001-05:00,2025-09-16T09:44:10.717764-05:00
14,Check Jenkins Jobs,,3,2025-09-15T23:59:59-05:00,,Daily,true,2025-09-16T09:44:16.445452-05:00,false,,2025-09-15T15:17:41.572994-05:00,2025-09-16T09:44:16.445456-05:00
15,Disk Size Check,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:18:43.244051-05:00,2025-09-15T15:27:28.471743-05:00
16,Bug follow-up,,3,2025-09-17T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:19:02.903750-05:00,2025-09-15T15:32:39.185063-05:00
17,Triage,,3,2025-09-15T23:59:59-05:00,,Daily,true,2025-09-16T09:44:01.839811-05:00,false,,2025-09-15T15:19:29.962979-05:00,2025-09-16T09:44:01.839816-05:00
18,Close assigned bugs,,3,2025-09-19T23:59:59-05:00,,Weekly,false,,false,,2025-09-15T15:19:48.985085-05:00,2025-09-15T15:32:42.631288-05:00
19,GR102s Serial Signature,,4,,,,false,,false,,2025-09-15T15:34:05.973823-05:00,2025-09-15T15:34:05.973823-05:00
20,Consider DVP updates,,4,,,,false,,false,,2025-09-15T15:34:18.470145-05:00,2025-09-15T15:34:18.470145-05:00
21,Make Confluence page for sim modes,,4,,,,false,,false,,2025-09-15T15:34:29.581454-05:00,2025-09-15T15:34:29.581454-05:00
22,Identify time diff between fastriscv and fw_uvc,,4,,,,false,,false,,2025-09-15T15:34:47.510909-05:00,2025-09-15T15:34:47.510909-05:00
23,Find out if Feynman will use 2PLL or 1PLL,,6,,,,false,,false,,2025-09-15T15:35:42.979948-05:00,2025-09-16T10:54:55.326722-05:00
24,Follow up with XPL/XTL on required FSTB afiles,,7,,,,false,,false,,2025-09-15T15:36:08.646228-05:00,2025-09-15T15:36:08.646228-05:00
25,Make //dev updates from meeting,,8,,,,false,,true,,2025-09-15T15:36:35.586769-05:00,2025-09-16T11:49:23.899128-05:00
26,Update tool pointer to use /home/nv/utils FW Scripts,,8,,,,false,,true,,2025-09-15T15:37:04.461066-05:00,2025-09-16T09:51:49.058721-05:00
27,Add BAN datacenter to all branches,,8,,,,false,,true,,2025-09-15T15:37:30.590617-05:00,2025-09-16T09:51:51.309044-05:00
28,Send Status Report,,1,2025-09-15T23:59:59-05:00,,Weekly,true,2025-09-16T11:23:26.634071-05:00,true,,2025-09-15T15:40:32.981959-05:00,2025-09-16T11:23:26.634071-05:00
29,Rerun apcit_compliance_enter_compliance with extra resources,,2,2025-09-15T23:59:59-05:00,,,true,2025-09-15T15:52:40.585832-05:00,false,,2025-09-15T15:51:39.868681-05:00,2025-09-15T15:52:40.585911-05:00
30,Run new multlink regressions and send link to Akshay,,3,2025-09-15T23:59:59-05:00,,,true,2025-09-15T17:05:31.988359-05:00,false,,2025-09-15T16:20:05.208573-05:00,2025-09-15T17:05:31.988359-05:00
31,Email,,1,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T09:59:03.384398-05:00,false,,2025-09-16T09:30:30.329770-05:00,2025-09-16T09:59:03.384398-05:00
32,Lunchdrop,,1,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T09:30:55.873745-05:00,false,,2025-09-16T09:30:44.580064-05:00,2025-09-16T09:30:55.873749-05:00
33,Triage,,3,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T10:24:55.719228-05:00,false,,2025-09-16T09:44:01.839817-05:00,2025-09-16T10:24:55.719228-05:00
34,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-22T23:59:59-05:00,,Weekly,true,2025-09-16T11:51:44.544025-05:00,false,,2025-09-16T09:44:10.717765-05:00,2025-09-16T11:51:44.544026-05:00
35,Check Jenkins Jobs,,3,2025-09-16T23:59:59-05:00,,Daily,true,2025-09-16T10:27:17.686657-05:00,false,,2025-09-16T09:44:16.445458-05:00,2025-09-16T10:27:17.686657-05:00
131,Investigate Near-End Loopback,,4,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T09:44:37.296979-05:00,2025-09-16T09:44:48.986724-05:00
132,Prepare for 1:1,,1,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T09:54:30.010346-05:00,2025-09-16T09:54:38.787174-05:00
36,Email,,1,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T09:59:03.384400-05:00,2025-09-16T09:59:03.384400-05:00
37,Investigate finished dumps of Avery Test,,2,2025-09-16T23:59:59-05:00,,,false,,false,,2025-09-16T10:21:58.875909-05:00,2025-09-16T10:22:12.182890-05:00
38,Triage,,3,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:22:27.698597-05:00,2025-09-16T10:22:27.698598-05:00
40,Check PIB Full-Chip Sanity,,3,2025-09-17T23:59:59-05:00,,Weekdays,false,,false,,2025-09-16T10:25:25.767725-05:00,2025-09-16T10:25:25.767727-05:00
41,Check Jenkins Jobs,,3,2025-09-17T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:27:17.686659-05:00,2025-09-16T10:27:17.686660-05:00
42,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:46:58.558567-05:00,false,,2025-09-16T10:45:30.727982-05:00,2025-09-16T10:46:58.558637-05:00
43,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:47:06.597191-05:00,false,,2025-09-16T10:45:46.644097-05:00,2025-09-16T10:47:06.597265-05:00
44,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:28.609510-05:00,false,,2025-09-16T10:45:50.141317-05:00,2025-09-16T10:50:28.609552-05:00
45,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:29.360536-05:00,false,,2025-09-16T10:45:59.978102-05:00,2025-09-16T10:50:29.360539-05:00
46,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:29.973553-05:00,false,,2025-09-16T10:46:22.163087-05:00,2025-09-16T10:50:29.973580-05:00
47,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:33.322593-05:00,false,,2025-09-16T10:46:31.320387-05:00,2025-09-16T10:50:33.322677-05:00
48,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:33.756210-05:00,false,,2025-09-16T10:46:39.328327-05:00,2025-09-16T10:50:33.756213-05:00
49,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:31.012245-05:00,false,,2025-09-16T10:46:58.558639-05:00,2025-09-16T10:50:31.012305-05:00
50,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:31.295040-05:00,false,,2025-09-16T10:47:06.597268-05:00,2025-09-16T10:50:31.295043-05:00
51,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,true,2025-09-16T10:50:34.162951-05:00,false,,2025-09-16T10:47:28.167998-05:00,2025-09-16T10:50:34.162955-05:00
52,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:28.609553-05:00,2025-09-16T10:50:28.609554-05:00
53,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:36.442445-05:00,false,,2025-09-16T10:50:29.360540-05:00,2025-09-16T10:50:36.442447-05:00
54,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:37.357711-05:00,false,,2025-09-16T10:50:29.973580-05:00,2025-09-16T10:50:37.357746-05:00
55,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,true,2025-09-16T10:50:53.601930-05:00,false,,2025-09-16T10:50:31.012307-05:00,2025-09-16T10:50:53.601976-05:00
56,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,true,2025-09-16T10:50:38.315843-05:00,false,,2025-09-16T10:50:31.295044-05:00,2025-09-16T10:50:38.315847-05:00
57,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:39.561378-05:00,false,,2025-09-16T10:50:33.322679-05:00,2025-09-16T10:50:39.561381-05:00
58,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:40.218435-05:00,false,,2025-09-16T10:50:33.756214-05:00,2025-09-16T10:50:40.218466-05:00
59,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,true,2025-09-16T10:50:54.053250-05:00,false,,2025-09-16T10:50:34.162956-05:00,2025-09-16T10:50:54.053253-05:00
60,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,true,2025-09-16T10:50:42.218678-05:00,false,,2025-09-16T10:50:36.442448-05:00,2025-09-16T10:50:42.218733-05:00
61,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:37.357747-05:00,2025-09-16T10:50:37.357748-05:00
62,Triage,,3,2025-09-21T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:38.315848-05:00,2025-09-16T10:50:38.315848-05:00
63,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,true,2025-09-16T10:50:44.197359-05:00,false,,2025-09-16T10:50:39.561382-05:00,2025-09-16T10:50:44.197363-05:00
64,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,true,2025-09-16T10:50:44.605333-05:00,false,,2025-09-16T10:50:40.218468-05:00,2025-09-16T10:50:44.605338-05:00
65,Triage,,3,2025-09-21T23:59:59-05:00,,Daily,true,2025-09-16T10:50:45.097326-05:00,false,,2025-09-16T10:50:42.218735-05:00,2025-09-16T10:50:45.097374-05:00
66,Triage,,3,2025-09-21T23:59:59-05:00,,Daily,true,2025-09-16T10:50:45.471385-05:00,false,,2025-09-16T10:50:44.197365-05:00,2025-09-16T10:50:45.471389-05:00
67,Triage,,3,2025-09-21T23:59:59-05:00,,Daily,true,2025-09-16T10:50:46.250208-05:00,false,,2025-09-16T10:50:44.605340-05:00,2025-09-16T10:50:46.250275-05:00
68,Triage,,3,2025-09-22T23:59:59-05:00,,Daily,true,2025-09-16T10:50:47.081270-05:00,false,,2025-09-16T10:50:45.097375-05:00,2025-09-16T10:50:47.081274-05:00
69,Triage,,3,2025-09-22T23:59:59-05:00,,Daily,true,2025-09-16T10:50:47.315660-05:00,false,,2025-09-16T10:50:45.471391-05:00,2025-09-16T10:50:47.315728-05:00
70,Triage,,3,2025-09-22T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:46.250276-05:00,2025-09-16T10:50:46.250277-05:00
71,Triage,,3,2025-09-23T23:59:59-05:00,,Daily,true,2025-09-16T10:50:48.593613-05:00,false,,2025-09-16T10:50:47.081275-05:00,2025-09-16T10:50:48.593650-05:00
72,Triage,,3,2025-09-23T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:47.315730-05:00,2025-09-16T10:50:47.315730-05:00
73,Triage,,3,2025-09-24T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:48.593651-05:00,2025-09-16T10:50:48.593652-05:00
74,Triage,,3,2025-09-21T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:53.601977-05:00,2025-09-16T10:50:53.601978-05:00
75,Triage,,3,2025-09-20T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:50:54.053254-05:00,2025-09-16T10:50:54.053254-05:00
76,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:22.704614-05:00,2025-09-16T10:51:22.704614-05:00
77,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:23.378837-05:00,2025-09-16T10:51:23.378838-05:00
78,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:33.880005-05:00,2025-09-16T10:51:33.880006-05:00
79,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:35.636761-05:00,2025-09-16T10:51:35.636761-05:00
80,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:36.056328-05:00,2025-09-16T10:51:36.056329-05:00
81,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:36.492331-05:00,2025-09-16T10:51:36.492332-05:00
82,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:51:36.924975-05:00,2025-09-16T10:51:36.924975-05:00
85,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:27.673964-05:00,2025-09-16T10:53:27.673964-05:00
86,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:28.036690-05:00,2025-09-16T10:53:28.036690-05:00
87,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:28.409205-05:00,2025-09-16T10:53:28.409205-05:00
88,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:28.798156-05:00,2025-09-16T10:53:28.798156-05:00
89,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:29.474451-05:00,2025-09-16T10:53:29.474451-05:00
90,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:53:29.864098-05:00,2025-09-16T10:53:29.864098-05:00
91,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:54:40.937537-05:00,2025-09-16T10:54:40.937537-05:00
92,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:54:42.782295-05:00,2025-09-16T10:54:42.782296-05:00
93,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:54:43.441378-05:00,2025-09-16T10:54:43.441379-05:00
94,Triage,,3,2025-09-18T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:54:46.219258-05:00,2025-09-16T10:54:46.219259-05:00
95,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:21.349372-05:00,2025-09-16T10:55:21.349372-05:00
96,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:23.259975-05:00,2025-09-16T10:55:23.259976-05:00
97,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:23.692513-05:00,2025-09-16T10:55:23.692514-05:00
98,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:24.050053-05:00,2025-09-16T10:55:24.050054-05:00
99,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:24.440358-05:00,2025-09-16T10:55:24.440358-05:00
100,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:28.925080-05:00,2025-09-16T10:55:28.925081-05:00
101,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:33.981262-05:00,2025-09-16T10:55:33.981263-05:00
102,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:34.477082-05:00,2025-09-16T10:55:34.477082-05:00
103,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:34.940168-05:00,2025-09-16T10:55:34.940168-05:00
104,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:35.991038-05:00,2025-09-16T10:55:35.991038-05:00
105,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:36.502502-05:00,2025-09-16T10:55:36.502502-05:00
106,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:36.729038-05:00,2025-09-16T10:55:36.729039-05:00
107,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:36.949905-05:00,2025-09-16T10:55:36.949906-05:00
108,Triage,,3,2025-09-19T23:59:59-05:00,,Daily,false,,false,,2025-09-16T10:55:37.191424-05:00,2025-09-16T10:55:37.191425-05:00
109,Implement logging for cache hit/miss,,8,,,,false,,false,,2025-09-16T11:21:21.813576-05:00,2025-09-16T11:21:21.813576-05:00
111,Run GR152n Serial Intensive w/ FW,,6,2025-09-16T23:59:59-05:00,,,true,2025-09-16T11:51:00.983239-05:00,false,,2025-09-16T11:25:31.573717-05:00,2025-09-16T11:51:00.983239-05:00
112,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:48:46.985943-05:00,2025-09-16T11:48:46.985944-05:00
113,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:48:50.449611-05:00,2025-09-16T11:48:50.449612-05:00
114,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:48:52.989046-05:00,2025-09-16T11:48:52.989047-05:00
115,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:48:59.538679-05:00,2025-09-16T11:48:59.538679-05:00
116,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:49:41.179499-05:00,2025-09-16T11:49:41.179500-05:00
117,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:03.879447-05:00,2025-09-16T11:51:03.879448-05:00
118,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:05.258673-05:00,2025-09-16T11:51:05.258673-05:00
119,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:07.120052-05:00,2025-09-16T11:51:07.120053-05:00
120,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:07.629797-05:00,2025-09-16T11:51:07.629798-05:00
121,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:09.370058-05:00,2025-09-16T11:51:09.370059-05:00
122,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:13.121522-05:00,2025-09-16T11:51:13.121523-05:00
123,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:13.749758-05:00,2025-09-16T11:51:13.749758-05:00
124,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:15.234389-05:00,2025-09-16T11:51:15.234391-05:00
125,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:15.655419-05:00,2025-09-16T11:51:15.655420-05:00
126,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:26.196889-05:00,2025-09-16T11:51:26.196890-05:00
127,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:27.293796-05:00,2025-09-16T11:51:27.293796-05:00
128,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:29.332498-05:00,2025-09-16T11:51:29.332499-05:00
129,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:43.610753-05:00,2025-09-16T11:51:43.610753-05:00
130,Submit TB500s intensive results to NVMobile Dashboard,,3,2025-09-29T23:59:59-05:00,,Weekly,false,,false,,2025-09-16T11:51:44.544028-05:00,2025-09-16T11:51:44.544029-05:00
